Performer,years_on_charts,url,WeekID,Week Position,Song,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,month,day,year,artist,gender
Chicago,22,http://www.billboard.com/charts/hot-100/1971-02-20,2/20/1971,85,Free,FreeChicago,1,,85,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",2nOmVjYHHAC4hNGnHKSfMF,https://p.scdn.co/mp3-preview/2d40c245375bdbdfd718e001078e9b7d4091863f?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago II,0.0,74766.0,25.0,0.465,0.863,5.0,-7.887,0.0,0.0472,0.0528,0.843,0.208,0.92,176.198,3.0,2,20,1971,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1978-02-11,2/11/1978,88,Little One,Little OneChicago,1,,88,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",67z69Jz0aSGA5t34AazjdF,https://p.scdn.co/mp3-preview/67dccd59322523f8cb2b67522f47290ac46a977a?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago Christmas: What's It Gonna Be Santa,0.0,84666.0,30.0,0.563,0.314,2.0,-10.319,1.0,0.0298,0.855,0.0,0.115,0.451,80.125,4.0,2,11,1978,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1970-04-04,4/4/1970,89,Make Me Smile,Make Me SmileChicago,1,,89,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",14vDlv40PzpXKBo6qmht6M,https://p.scdn.co/mp3-preview/9819e3cb6bb92b16aec84cff703a7944fa136677?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago II,0.0,178933.0,46.0,0.619,0.773,8.0,-7.345,1.0,0.063,0.129,0.0487,0.519,0.722,124.78,4.0,4,4,1970,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1990-07-28,7/28/1990,90,"Hearts In Trouble (From ""Days Of Thunder"")","Hearts In Trouble (From ""Days Of Thunder"")Chicago",1,,90,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",1tRjTcKUYaU67oPojBcHnu,,Days Of Thunder (Music From The Motion Picture Soundtrack),0.0,316493.0,14.0,0.551,0.832,5.0,-9.019,1.0,0.0378,0.0397,3.94e-05,0.066,0.599,86.708,4.0,7,28,1990,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1987-07-11,7/11/1987,94,Niagara Falls,Niagara FallsChicago,1,,94,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",6zkj9TmBxazomrKYmGB1SW,https://p.scdn.co/mp3-preview/7ff31e2f3a869e87dc82ae01870e26febf4d4395?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago 18,0.0,222746.0,11.0,0.609,0.771,3.0,-5.648,1.0,0.0256,0.00255,5.48e-05,0.134,0.609,101.893,4.0,7,11,1987,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1980-08-23,8/23/1980,86,Thunder And Lightning,Thunder And LightningChicago,1,,86,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",1UzXMU7Vzi0SXaHJAMyIHd,https://p.scdn.co/mp3-preview/2eae6642a1790e66ac925c25a4bd0dda96362ee9?cid=b8d3901151d34489a160e3cf0ab1fa94,Now More Than Ever: The History of Chicago (Remaster),0.0,212200.0,13.0,0.752,0.807,4.0,-6.124,0.0,0.0497,0.0964,2.25e-05,0.0605,0.692,122.453,4.0,8,23,1980,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1969-08-09,8/9/1969,99,Questions 67 And 68,Questions 67 And 68Chicago,1,,99,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",3YxBBvWnhl3CHHLpVAu5vO,https://p.scdn.co/mp3-preview/51c4b66e5bc242590028f46e3911e3cfdd6b50f0?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago Transit Authority,0.0,301933.0,42.0,0.452,0.732,5.0,-7.786,1.0,0.0405,0.00244,0.0096,0.172,0.557,89.827,4.0,8,9,1969,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1977-04-09,4/9/1977,83,You Are On My Mind,You Are On My MindChicago,1,,83,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",2Q3wgdqARaCH3wuTJV4utm,https://p.scdn.co/mp3-preview/ab0a55ee282dd049ab3cc793ca7b87d5d2376351?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago X,0.0,192240.0,35.0,0.595,0.713,2.0,-8.555,0.0,0.0456,0.14,0.000572,0.0606,0.893,121.593,4.0,4,9,1977,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1989-01-21,1/21/1989,65,You're Not Alone,You're Not AloneChicago,1,,65,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",6drpXi45DxotnvQcOdrnfm,https://p.scdn.co/mp3-preview/11dae006c7b43a761de74ba97b2fe65300466519?cid=b8d3901151d34489a160e3cf0ab1fa94,The Very Best of Chicago: Only the Beginning,0.0,240560.0,20.0,0.487,0.84,7.0,-5.986,1.0,0.0321,0.327,0.00412,0.419,0.383,103.986,4.0,1,21,1989,Chicago,male group
Chicago,22,http://www.billboard.com/charts/hot-100/1984-11-17,11/17/1984,61,You're The Inspiration,You're The InspirationChicago,1,,61,1,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",36lkJSDyMEZoWTqtRj8Q8q,https://p.scdn.co/mp3-preview/81c3639880ea347eeecbcbb3d18f90fcf02a6726?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago 17 (Expanded & Remastered),0.0,229240.0,73.0,0.583,0.602,11.0,-6.364,1.0,0.0274,0.368,0.0,0.22,0.388,74.008,4.0,11,17,1984,Chicago,male group
